no_mec,month,IDCARD,amt_1st
10012448854,2018-03,10,297.765
10012448854,2018-04,106,375.2719298245614
10012448854,2018-06,111,333.3659459459461
10012448854,2018-07,100,349.1057425742575
10012448854,2018-08,79,361.9971250000001
10012448854,2018-09,77,338.66818181818195
10012469117,2017-09,33161,2321.0754233625
10012469117,2017-10,61542,2358.3851553909108
10012469117,2018-01,14557,1597.7075274447675
10012469117,2018-02,9020,2046.040306324088
10012469117,2018-03,1,500.0
10012469117,2018-04,3,1499.0566666666666
10012469117,2018-06,1,1000.0
10012469117,2018-07,3,2438.556666666667
10012469117,2018-08,3,845.3966666666666
10012469117,2018-09,20,718.938
10012470020,2017-09,1000588,1135.726023599767
10012470020,2017-10,1081597,1143.0171903697037
10012470020,2018-01,1344032,853.4334055877512
10012470020,2018-02,1348812,840.151496841281
10012470020,2018-03,1115145,922.1687957391882
10012470020,2018-04,853725,1038.7322412587039
10012470020,2018-06,790053,837.5301532266285
10012470020,2018-07,862709,821.5076073056395
10012470020,2018-08,713399,489.29083577083554
10012470020,2018-09,610747,506.3654453841537
10012471228,2017-09,101305,1970.417526395475
10012471228,2017-10,10444,3024.517060332785
10012472954,2017-09,16272,1782.281707287128
10012472954,2017-10,15005,1778.3412420085274
10012472954,2018-01,9203,1838.9928331163173
10012472954,2018-02,6893,2048.494448145999
10012472954,2018-03,4355,2228.8486411549025
10012472954,2018-04,1899,1945.993948475288
10012472954,2018-06,669,2533.2644245142014
10012472954,2018-07,477,2505.9256603773606
10012472954,2018-08,352,2911.055539772726
10012472954,2018-09,256,3269.216015625
10012484398,2017-10,1,56.0
10012484398,2018-01,1,56.0
10012505448,2017-09,5,7143.518000000001
10012505448,2017-10,3,5682.776666666668
10012520683,2017-09,116,3558.4043965517258
10012520683,2017-10,104,3532.1212500000006
10012520683,2018-01,72,3638.304722222222
10012537679,2017-09,1762,3957.5462803590262
10012537679,2017-10,2049,3953.1672733628498
10012571557,2017-09,4596,452.73343931838235
10012571557,2017-10,2959,449.7486630154707
10012571557,2018-01,43,980.4058333333332
10012571557,2018-02,15,998.4270588235294
10012571557,2018-03,5,1850.0399999999997
10012571557,2018-04,7,3550.714
10012571557,2018-06,5,2968.392
10012571557,2018-07,9,1513.718888888889
10012571557,2018-08,4,3303.7
10012571557,2018-09,2,1475.5933333333332
10012637092,2017-09,31249,1463.9961093695572
10012637092,2017-10,4231,1506.5368514150964
10012637092,2018-01,11416,1520.6264250325955
10012637092,2018-02,3898,982.8525611620787
10012637092,2018-03,4880,1236.7408070103943
10012637092,2018-04,2208,1410.377796380092
10012637092,2018-06,5284,1442.7990388972823
10012637092,2018-07,2192,1360.9467379435862
10012637092,2018-08,4464,1377.749332589286
10012637092,2018-09,4713,1373.2541920473768
10012713616,2017-09,5030,209.5480902225754
10012713616,2017-10,4287,204.98175565399842
10012713616,2018-01,2452,194.4257766000814
10012713616,2018-02,1826,189.7789320920042
10012713616,2018-03,1388,192.8684438040346
10012713616,2018-04,726,187.4634848484849
10012713616,2018-06,313,188.56961661341848
10012713616,2018-07,231,181.4785714285714
10012713616,2018-08,172,175.35156976744187
10012713616,2018-09,150,173.26273333333333
10012718466,2017-09,296,1442.851486486486
10012718466,2017-10,364,1401.419561643837
10012718466,2018-01,510,1344.4342549019598
10012718466,2018-02,512,1322.3100000000004
10012718466,2018-03,360,1392.158805555557
10012718466,2018-04,320,1435.5895625000003
10012718466,2018-06,353,1470.1942492917856
10012718466,2018-07,372,1508.9261021505383
10012718466,2018-08,244,1471.4674999999986
10012718466,2018-09,274,1524.6635036496357
10012996445,2017-09,432595,1471.4600051787093
10012996445,2017-10,496410,1444.101385729338
10012996445,2018-01,291127,1448.1967484140862
10012996445,2018-02,133083,1416.9826867886336
10012996445,2018-03,31966,1353.851877066281
10012996445,2018-04,11858,1303.414739553176
10012996445,2018-06,4898,1283.9893046291124
10012996445,2018-07,1057,1433.2039906542095
10012996445,2018-08,546,1492.9277436823088
10012996445,2018-09,181,1559.0197790055247
10013199382,2017-09,3246,1845.5916995073862
10013199382,2017-10,3082,1983.0002854362615
10013199382,2018-01,2152,1891.7849999999992
10013199382,2018-02,1680,1948.7952738095244
10013199382,2018-03,1474,2088.479654002715
10013199382,2018-04,1071,2019.3897478991578
10013199382,2018-06,965,2118.643772020724
10013199382,2018-07,777,2129.154169884168
10013199382,2018-08,660,2046.8905909090893
10013199382,2018-09,1316,2067.5310855499633
10013201786,2017-09,1058,580.5795935727775
10013201786,2017-10,1044,628.0020210727959
10013201786,2018-01,1015,791.4491231527059
10013201786,2018-02,1013,860.917058242837
10013204118,2017-09,872,304.4930619266056
10013204118,2017-10,977,278.8626938775512
10013204118,2018-01,1056,278.494608120869
10013204118,2018-02,1046,286.833742857143
10013204118,2018-03,1024,287.53196097561
10013204118,2018-04,954,296.07605648535593
10013204118,2018-06,879,303.086393629124
10013204118,2018-07,878,304.47854545454527
10013204118,2018-08,905,572.4704640883978
10013204118,2018-09,843,312.64959667852895
10013262195,2017-09,43,114.36363636363636
10013262195,2017-10,43,114.36363636363636
10013262195,2018-01,43,114.36363636363636
10013262195,2018-02,43,114.36363636363636
10013262195,2018-03,43,114.36363636363636
10013262195,2018-06,41,116.33333333333333
10013270743,2017-09,2,3581.02
10013270743,2017-10,2,3680.1000000000004
10013270743,2018-01,2,3581.02
10013270743,2018-02,2,3581.02
10013270743,2018-03,2,3638.8
10013270743,2018-04,2,4178.08
10013270743,2018-06,2,3628.54
10013270743,2018-07,2,3639.74
10013270743,2018-08,2,3702.6549999999997
10013270743,2018-09,2,3581.02
10013270932,2017-09,4129,293.68317209302114
10013270932,2017-10,3082,296.2303799439419
10013270932,2018-01,1179,304.68097678142556
10013270932,2018-02,908,301.3068711018715
10013270932,2018-03,798,300.28600223964196
10013270932,2018-04,419,303.70078470825
10013270932,2018-06,28,715.2654838709677
10013270932,2018-07,25,740.6985185185184
10013270932,2018-08,10,1435.8927272727274
10013270932,2018-09,5,1794.602
10013370452,2017-09,1,0.02
10013370452,2017-10,60348,1902.7662210843844
10013391219,2017-09,72,1217.2245833333332
10013391219,2017-10,142,1156.8302112676054
10013391219,2018-01,273,910.1435164835161
10013391219,2018-02,282,919.2848936170211
10013391219,2018-03,276,936.1267391304347
10013391219,2018-04,285,882.995644599303
10013391219,2018-06,555,1056.502053571427
10013391219,2018-07,931,1018.0788197424894
10013391219,2018-08,1143,1090.2813449781686
10013391219,2018-09,1198,1456.4700333333358
10013409970,2017-09,18,1016.6494444444444
10013409970,2017-10,3,0.01
10013439885,2017-09,688,1434.9709302325582
10013439885,2017-10,4271,1095.7126140884625
10013441711,2017-09,2510,1795.8502187748593
10013441711,2017-10,1950,1849.7436642784025
10013441711,2018-01,10,1704.913
10013441711,2018-02,4,1262.9924999999998
10013441711,2018-03,26,1326.3696296296296
10013441711,2018-04,233,1297.7655555555557
10013441711,2018-06,75,1126.605333333333
10013441711,2018-07,33,1186.0524242424242
10013441711,2018-08,50,1293.8390000000002
10013441711,2018-09,99,1234.8867676767675
10013441987,2017-09,1,1670.5
10013441987,2017-10,1,4166.25
10013478608,2017-09,51,1720.7196078431384
10013478608,2017-10,44,1937.6843181818192
10013478608,2018-01,9,1722.2577777777778
10013478608,2018-02,4,1578.25
10013490635,2017-09,504,1908.9920634920634
10013490635,2017-10,445,1825.5662921348314
10013490635,2018-01,485,1923.5781893004116
10013490635,2018-02,257,1867.7325581395348
10013490635,2018-03,162,1317.4012345679012
10013490635,2018-04,30,2553.5666666666666
10013490635,2018-06,38,1327.578947368421
10013490635,2018-07,13,1265.923076923077
10013490635,2018-08,158,495.38993710691824
10013490635,2018-09,64,516.6875
10013492145,2017-09,133,1237.075895522388
10013492145,2017-10,143,1495.9592307692305
10013492145,2018-01,191,1256.6383743842364
10013492145,2018-02,191,1239.0392670157069
10013492145,2018-03,192,1228.5963541666667
10013492145,2018-04,208,1164.8966346153845
10013492145,2018-06,198,1245.5050251256282
10013492145,2018-07,188,1175.4921052631578
10013492145,2018-08,164,1154.186746987952
10013492145,2018-09,148,1155.06
10013510174,2018-01,233,18335.33926829269
10013510174,2018-02,202,19143.58827906977
10013510174,2018-03,199,17301.937692307696
10013510174,2018-04,149,18844.783855421683
10013510174,2018-06,150,19637.477025316453
10013510212,2017-09,52188,648.6780616983652
10013510212,2017-10,23837,536.5868359473395
10013513422,2017-09,24110,809.8392817086246
10013513422,2017-10,18046,824.7305729639035
10013513422,2018-01,3089,1507.3391817345896
10013513422,2018-02,5431,1261.2513654759848
10013513422,2018-03,4764,1213.7000624268633
10013513422,2018-04,2748,981.4607555088986
10013513422,2018-06,6536,1046.2192819227146
10013513422,2018-07,6238,1070.400501567387
10013513422,2018-08,5841,1091.0142300130883
10013513422,2018-09,5406,1096.6915705765175
10013526944,2017-09,3224,6907.961816283928
10013526944,2017-10,3251,5802.032709753925
10013526944,2018-01,3680,5340.248843797868
10013526944,2018-02,3764,6742.311490808372
10013526944,2018-03,3573,8062.138967980954
10013526944,2018-04,2801,3524.1063122806972
10013526944,2018-06,3477,3540.4701443532385
10013526944,2018-07,3508,5210.540127190496
10013526944,2018-08,3519,3789.9616671344347
10013526944,2018-09,3525,4442.915624999993
10013572454,2017-09,1034,2038.0399516440993
10013572454,2017-10,827,2006.6842563482446
10013572454,2018-01,116,1683.435689655172
10013572454,2018-02,44,1616.2031818181822
10013572454,2018-03,13,1874.9076923076925
10013579200,2017-09,2,585.8
10013579200,2017-10,1,299.4
10013607604,2017-09,10,28.306000000000004
10013607604,2017-10,10,28.306000000000004
10013607604,2018-01,10,28.313
10013607604,2018-02,10,28.306000000000004
10013607604,2018-03,10,28.306000000000004
10013607604,2018-04,10,28.306000000000004
10013607604,2018-07,5,15.012
10013607604,2018-08,2,37.5
10013609991,2018-01,10224,2134.9019992174663
10013609991,2018-02,10498,2094.8203448275262
10013609991,2018-03,10754,2077.223382927222
10013609991,2018-04,9999,2071.7817601759857
10013609991,2018-06,14722,2023.1600624914195
10013609991,2018-07,16250,1997.936030153745
10013609991,2018-08,14896,1930.0708760740288
10013609991,2018-09,13213,1921.2933739498355
10013610881,2017-09,52,3933.459811320755
10013610881,2017-10,53,3352.665
10013610881,2018-01,48,1766.1797916666665
10013610881,2018-02,30,1439.4
10013610881,2018-03,22,2046.7027272727273
10013610881,2018-04,12,3511.5
10013610881,2018-06,3,1071.6333333333334
10013610881,2018-07,1,1399.0
10013631809,2017-09,172946,560.3433707605584
10013631809,2017-10,202717,588.8691382615436
10013631809,2018-01,144472,733.6580813615607
10013631809,2018-02,117185,773.378333120057
10013631809,2018-03,63915,360.1697270238558
10013631809,2018-04,28170,365.90919991480916
10013631809,2018-06,28828,362.8165522025669
10013631809,2018-07,21243,368.15695349275103
10013631809,2018-08,12083,367.61606918239
10013631809,2018-09,4407,349.4529702745632
10013642751,2017-09,2956,1139.008618157542
10013642751,2017-10,18359,1158.163307803552
10013642751,2018-01,85253,1604.8040362672293
10013642751,2018-02,96790,1561.5248618914775
10013642751,2018-03,61127,1534.251950582074
10013642751,2018-04,49577,1506.2782245258163
10013642751,2018-06,78462,1554.79061294245
10013642751,2018-07,55751,2065.765108440194
10013642751,2018-08,35893,1998.311641583854
10013642751,2018-09,30856,1742.3692416602341
10013687590,2017-09,490059,1081.4926875077692
10013687590,2017-10,477404,1121.7587062114067
10013687590,2018-01,219859,849.5666467297136
10013687590,2018-02,147789,843.7314890147201
10013687590,2018-03,4660,818.7461952789689
10013687590,2018-04,83837,531.4068850268993
10013687590,2018-06,136848,658.7408196207251
10013707856,2017-09,181,3491.6535911602214
10013707856,2017-10,650,1315.0485692307707
10013707856,2018-01,8527,720.47821152494
10013712386,2017-09,17292,311.88851170010025
10013712386,2017-10,15444,278.81302125816933
10013712386,2018-01,8855,235.22680219893806
10013712386,2018-02,5743,209.5454424705313
10013712386,2018-03,3867,209.75873581011592
10013712386,2018-04,2495,210.36287200000086
10013712386,2018-06,736,263.0207055630933
10013712386,2018-07,385,200.11617571059418
10013712386,2018-08,137,208.65737226277372
10013712386,2018-09,59,249.9093220338984
10013748443,2017-09,8,438.78624999999994
10013748443,2017-10,8,438.78375000000005
10013748443,2018-01,1,434.85
10013779221,2017-09,990861,1474.1211947874447
10013779221,2017-10,1024528,1473.5930698403627
10013779221,2018-01,228015,1372.348782102939
10013779221,2018-02,173491,1309.2169258346166
10013779221,2018-03,121037,1101.7580180438474
10013779221,2018-04,75112,964.7249077373987
10013779221,2018-06,93076,791.2105001338073
10013779221,2018-07,46411,854.7780987550199
10013779221,2018-08,44410,808.753765331962
10013779221,2018-09,58939,799.9203851291111
10013786972,2017-09,10,2820.5340000000006
10013786972,2017-10,8,3525.6537500000004
10013786972,2018-01,8,3446.35375
10013786972,2018-02,8,3446.35375
10013786972,2018-03,7,2966.195714285714
10013786972,2018-04,6,3016.683333333333
10013786972,2018-06,8,2680.47375
10013786972,2018-07,8,3446.35375
10013786972,2018-08,8,3446.35375
10013786972,2018-09,7,2869.582857142857
10013798254,2017-09,67064,1607.6150906965604
10013798254,2017-10,22053,1591.6078517984354
10013798254,2018-01,37387,1272.7146410119412
10013798254,2018-02,15176,1222.959742695442
10013798254,2018-03,1054,1537.8960151802685
10013799038,2017-09,455,2114.5485714285733
10013799038,2017-10,361,2106.9390607734817
10013799038,2018-01,1123,2121.3033718861234
10013799038,2018-02,2632,2105.0427393616997
10013799038,2018-03,1485,2008.7382166890993
10013799038,2018-04,1515,2006.991477572562
10013807318,2018-06,69,1509.6215277777776
10013807318,2018-07,13,1694.0161538461539
10013831924,2017-09,160,1187.6451552795027
10013831924,2018-01,1468,2044.292339851651
10013831924,2018-02,1925,1939.6902371134022
