no_mec,month,flag_overdue,IDCARD,fpd
10012448854,2018-03,9,12,0.75
10012448854,2018-04,78,110,0.7090909090909091
10012448854,2018-05,117,154,0.7597402597402597
10012448854,2018-06,12,13,0.9230769230769231
10012469117,2018-01,1190,15850,0.0750788643533123
10012469117,2018-02,537,4875,0.11015384615384616
10012469117,2018-03,0,1,0.0
10012469117,2018-04,0,3,0.0
10012469117,2018-07,0,3,0.0
10012469117,2018-08,0,3,0.0
10012469117,2018-09,0,19,0.0
10012470020,2018-01,906367,1440362,0.6292633379664279
10012470020,2018-02,321010,531053,0.604478272413488
10012470020,2018-03,119361,229817,0.5193741107054743
10012470020,2018-04,47479,132283,0.35891989144485686
10012470020,2018-05,60204,126664,0.4753047432577528
10012470020,2018-06,59622,113237,0.5265240160018368
10012470020,2018-07,59894,122410,0.4892900906788661
10012470020,2018-08,28497,80615,0.3534950071326676
10012470020,2018-09,22870,58134,0.3934014518182131
10012472954,2018-01,5235,9214,0.5681571521597569
10012472954,2018-02,1847,3243,0.5695343817452976
10012472954,2018-03,529,840,0.6297619047619047
10012472954,2018-04,178,278,0.6402877697841727
10012472954,2018-05,41,54,0.7592592592592593
10012472954,2018-06,14,17,0.8235294117647058
10012472954,2018-07,19,25,0.76
10012472954,2018-08,12,19,0.631578947368421
10012472954,2018-09,8,9,0.8888888888888888
10012484398,2018-01,1,1,1.0
10012520683,2018-01,63,72,0.875
10012571557,2018-01,34,48,0.7083333333333334
10012571557,2018-02,10,16,0.625
10012571557,2018-03,2,4,0.5
10012571557,2018-04,3,6,0.5
10012571557,2018-05,5,7,0.7142857142857143
10012571557,2018-06,1,4,0.25
10012571557,2018-07,6,9,0.6666666666666666
10012571557,2018-08,1,3,0.3333333333333333
10012571557,2018-09,1,2,0.5
10012637092,2018-01,3112,11505,0.2704910908300739
10012637092,2018-02,323,1135,0.2845814977973568
10012637092,2018-03,435,2527,0.17214087851206966
10012637092,2018-04,506,1134,0.4462081128747795
10012637092,2018-05,1289,2610,0.49386973180076627
10012637092,2018-06,930,1879,0.494944119212347
10012637092,2018-07,683,1206,0.5663349917081261
10012637092,2018-08,2390,3268,0.7313341493268054
10012637092,2018-09,865,1256,0.6886942675159236
10012713616,2018-01,2026,2453,0.8259274357929066
10012713616,2018-02,127,258,0.49224806201550386
10012713616,2018-03,32,106,0.3018867924528302
10012713616,2018-04,7,34,0.20588235294117646
10012713616,2018-05,4,12,0.3333333333333333
10012713616,2018-06,1,21,0.047619047619047616
10012713616,2018-07,1,14,0.07142857142857142
10012713616,2018-08,0,2,0.0
10012713616,2018-09,1,5,0.2
10012718466,2018-01,34,510,0.06666666666666667
10012718466,2018-02,7,302,0.023178807947019868
10012718466,2018-03,2,114,0.017543859649122806
10012718466,2018-04,8,62,0.12903225806451613
10012718466,2018-05,6,52,0.11538461538461539
10012718466,2018-06,5,52,0.09615384615384616
10012718466,2018-07,10,54,0.18518518518518517
10012718466,2018-08,2,16,0.125
10012718466,2018-09,1,40,0.025
10012996445,2018-01,274167,299700,0.9148048048048047
10012996445,2018-02,19374,21852,0.886600768808347
10012996445,2018-03,2866,3417,0.8387474392742171
10012996445,2018-04,1149,1339,0.8581030619865572
10012996445,2018-05,670,786,0.8524173027989822
10012996445,2018-06,327,400,0.8175
10012996445,2018-07,277,331,0.8368580060422961
10012996445,2018-08,117,138,0.8478260869565217
10012996445,2018-09,112,121,0.9256198347107438
10013199382,2018-01,1599,2152,0.7430297397769516
10013199382,2018-02,93,224,0.41517857142857145
10013199382,2018-03,37,128,0.2890625
10013199382,2018-04,8,66,0.12121212121212122
10013199382,2018-05,10,54,0.18518518518518517
10013199382,2018-06,3,33,0.09090909090909091
10013199382,2018-07,5,28,0.17857142857142858
10013199382,2018-08,3,20,0.15
10013199382,2018-09,426,505,0.8435643564356435
10013201786,2018-01,5,1015,0.0049261083743842365
10013204118,2018-01,644,1059,0.6081208687440982
10013204118,2018-02,5,32,0.15625
