no_mec,IDCARD_intersection,IDCARD_all,IDCARD_pct
10012448854,179,203,0.8817733990147784
10012469117,59006,92721,0.6363822650747942
10012470020,873930,2975514,0.29370723848047764
10012471228,98905,109748,0.9012009330466159
10012472954,3687,26792,0.13761570618094954
10012505448,6,8,0.75
10012520683,12,127,0.09448818897637795
10012537679,1062,2707,0.3923162172146287
10012571557,3239,4942,0.6554026709834075
10012637092,8437,56251,0.1499884446498729
10012713616,4871,5913,0.823778116015559
10012718466,408,1426,0.2861150070126227
10012996445,673943,848287,0.7944752188822887
10013199382,635,4554,0.13943785682916118
10013201786,260,1058,0.24574669187145556
10013204118,140,1165,0.12017167381974249
10013262195,6,43,0.13953488372093023
10013270932,2141,4706,0.45495112622184447
10013370452,34515,60349,0.5719233127309483
10013391219,296,2113,0.14008518693800284
10013409970,11,19,0.5789473684210527
10013439885,4220,4648,0.9079173838209983
10013441711,4086,4751,0.8600294674805304
10013441987,1,2,0.5
10013478608,14,63,0.2222222222222222
10013490635,54,799,0.06758448060075094
10013492145,26,276,0.09420289855072464
10013510174,149,403,0.369727047146402
10013510212,48943,54395,0.8997701994668628
10013513422,31367,40775,0.7692703862660945
10013526944,488,5494,0.0888241718238078
10013572454,212,1718,0.12339930151338765
10013609991,4437,33029,0.13433649217354446
10013610881,96,220,0.43636363636363634
10013631809,42822,223105,0.19193653212612896
10013642751,192189,261761,0.7342155630517915
10013687590,740720,857885,0.8634257505376595
10013707856,901,9246,0.09744754488427428
10013712386,19924,25467,0.7823457808143872
10013748443,1,8,0.125
10013779221,1052278,1513644,0.6951951713877239
10013786972,2,11,0.18181818181818182
10013798254,99052,115150,0.8601997394702562
10013799038,320,3327,0.09618274721971747
10013807318,72,81,0.8888888888888888
10013831924,6385,12724,0.5018076076705439
10013885007,98,184,0.532608695652174
10013922543,103695,109509,0.9469084732761691
10013964842,25916,56655,0.45743535433765775
10014048472,27062,201591,0.1342421040621853
10014130505,26,70,0.37142857142857144
