no_mec,month,IDCARD
10012448854,2018-03,10
10012448854,2018-04,106
10012448854,2018-06,111
10012448854,2018-07,100
10012448854,2018-08,79
10012448854,2018-09,77
10012469117,2017-09,33161
10012469117,2017-10,61542
10012469117,2018-01,14557
10012469117,2018-02,9020
10012469117,2018-03,1
10012469117,2018-04,3
10012469117,2018-06,1
10012469117,2018-07,3
10012469117,2018-08,3
10012469117,2018-09,20
10012470020,2017-09,1000588
10012470020,2017-10,1081597
10012470020,2018-01,1344032
10012470020,2018-02,1348812
10012470020,2018-03,1115145
10012470020,2018-04,853725
10012470020,2018-06,790053
10012470020,2018-07,862709
10012470020,2018-08,713399
10012470020,2018-09,610747
10012471228,2017-09,101305
10012471228,2017-10,10444
10012472954,2017-09,16272
10012472954,2017-10,15005
10012472954,2018-01,9203
10012472954,2018-02,6893
10012472954,2018-03,4355
10012472954,2018-04,1899
10012472954,2018-06,669
10012472954,2018-07,477
10012472954,2018-08,352
10012472954,2018-09,256
10012484398,2017-10,1
10012484398,2018-01,1
10012505448,2017-09,5
10012505448,2017-10,3
10012520683,2017-09,116
10012520683,2017-10,104
10012520683,2018-01,72
10012537679,2017-09,1762
10012537679,2017-10,2049
10012571557,2017-09,4596
10012571557,2017-10,2959
10012571557,2018-01,43
10012571557,2018-02,15
10012571557,2018-03,5
10012571557,2018-04,7
10012571557,2018-06,5
10012571557,2018-07,9
10012571557,2018-08,4
10012571557,2018-09,2
10012637092,2017-09,31249
10012637092,2017-10,4231
10012637092,2018-01,11416
10012637092,2018-02,3898
10012637092,2018-03,4880
10012637092,2018-04,2208
10012637092,2018-06,5284
10012637092,2018-07,2192
10012637092,2018-08,4464
10012637092,2018-09,4713
10012713616,2017-09,5030
10012713616,2017-10,4287
10012713616,2018-01,2452
10012713616,2018-02,1826
10012713616,2018-03,1388
10012713616,2018-04,726
10012713616,2018-06,313
10012713616,2018-07,231
10012713616,2018-08,172
10012713616,2018-09,150
10012718466,2017-09,296
10012718466,2017-10,364
10012718466,2018-01,510
10012718466,2018-02,512
10012718466,2018-03,360
10012718466,2018-04,320
10012718466,2018-06,353
10012718466,2018-07,372
10012718466,2018-08,244
10012718466,2018-09,274
10012996445,2017-09,432595
10012996445,2017-10,496410
10012996445,2018-01,291127
10012996445,2018-02,133083
10012996445,2018-03,31966
10012996445,2018-04,11858
10012996445,2018-06,4898
10012996445,2018-07,1057
10012996445,2018-08,546
10012996445,2018-09,181
10013199382,2017-09,3246
10013199382,2017-10,3082
10013199382,2018-01,2152
10013199382,2018-02,1680
10013199382,2018-03,1474
10013199382,2018-04,1071
10013199382,2018-06,965
10013199382,2018-07,777
10013199382,2018-08,660
10013199382,2018-09,1316
10013201786,2017-09,1058
10013201786,2017-10,1044
10013201786,2018-01,1015
10013201786,2018-02,1013
10013204118,2017-09,872
10013204118,2017-10,977
10013204118,2018-01,1056
10013204118,2018-02,1046
10013204118,2018-03,1024
10013204118,2018-04,954
10013204118,2018-06,879
10013204118,2018-07,878
10013204118,2018-08,905
10013204118,2018-09,843
10013262195,2017-09,43
10013262195,2017-10,43
10013262195,2018-01,43
10013262195,2018-02,43
10013262195,2018-03,43
10013262195,2018-06,41
10013270743,2017-09,2
10013270743,2017-10,2
10013270743,2018-01,2
10013270743,2018-02,2
10013270743,2018-03,2
10013270743,2018-04,2
10013270743,2018-06,2
10013270743,2018-07,2
10013270743,2018-08,2
10013270743,2018-09,2
10013270932,2017-09,4129
10013270932,2017-10,3082
10013270932,2018-01,1179
10013270932,2018-02,908
10013270932,2018-03,798
10013270932,2018-04,419
10013270932,2018-06,28
10013270932,2018-07,25
10013270932,2018-08,10
10013270932,2018-09,5
10013370452,2017-09,1
10013370452,2017-10,60348
10013391219,2017-09,72
10013391219,2017-10,142
10013391219,2018-01,273
10013391219,2018-02,282
10013391219,2018-03,276
10013391219,2018-04,285
10013391219,2018-06,555
10013391219,2018-07,931
10013391219,2018-08,1143
10013391219,2018-09,1198
10013409970,2017-09,18
10013409970,2017-10,3
10013439885,2017-09,688
10013439885,2017-10,4271
10013441711,2017-09,2510
10013441711,2017-10,1950
10013441711,2018-01,10
10013441711,2018-02,4
10013441711,2018-03,26
10013441711,2018-04,233
10013441711,2018-06,75
10013441711,2018-07,33
10013441711,2018-08,50
10013441711,2018-09,99
10013441987,2017-09,1
10013441987,2017-10,1
10013478608,2017-09,51
10013478608,2017-10,44
10013478608,2018-01,9
10013478608,2018-02,4
10013490635,2017-09,504
10013490635,2017-10,445
10013490635,2018-01,485
10013490635,2018-02,257
10013490635,2018-03,162
10013490635,2018-04,30
10013490635,2018-06,38
10013490635,2018-07,13
10013490635,2018-08,158
10013490635,2018-09,64
10013492145,2017-09,133
10013492145,2017-10,143
10013492145,2018-01,191
10013492145,2018-02,191
10013492145,2018-03,192
10013492145,2018-04,208
10013492145,2018-06,198
10013492145,2018-07,188
10013492145,2018-08,164
10013492145,2018-09,148
10013510174,2018-01,233
10013510174,2018-02,202
10013510174,2018-03,199
10013510174,2018-04,149
10013510174,2018-06,150
10013510212,2017-09,52188
10013510212,2017-10,23837
10013513422,2017-09,24110
10013513422,2017-10,18046
10013513422,2018-01,3089
10013513422,2018-02,5431
10013513422,2018-03,4764
10013513422,2018-04,2748
10013513422,2018-06,6536
10013513422,2018-07,6238
10013513422,2018-08,5841
10013513422,2018-09,5406
10013526944,2017-09,3224
10013526944,2017-10,3251
10013526944,2018-01,3680
10013526944,2018-02,3764
10013526944,2018-03,3573
10013526944,2018-04,2801
10013526944,2018-06,3477
10013526944,2018-07,3508
10013526944,2018-08,3519
10013526944,2018-09,3525
10013572454,2017-09,1034
10013572454,2017-10,827
10013572454,2018-01,116
10013572454,2018-02,44
10013572454,2018-03,13
10013579200,2017-09,2
10013579200,2017-10,1
10013607604,2017-09,10
10013607604,2017-10,10
10013607604,2018-01,10
10013607604,2018-02,10
10013607604,2018-03,10
10013607604,2018-04,10
10013607604,2018-07,5
10013607604,2018-08,2
10013609991,2018-01,10224
10013609991,2018-02,10498
10013609991,2018-03,10754
10013609991,2018-04,9999
10013609991,2018-06,14722
10013609991,2018-07,16250
10013609991,2018-08,14896
10013609991,2018-09,13213
10013610881,2017-09,52
10013610881,2017-10,53
10013610881,2018-01,48
10013610881,2018-02,30
10013610881,2018-03,22
10013610881,2018-04,12
10013610881,2018-06,3
10013610881,2018-07,1
10013631809,2017-09,172946
10013631809,2017-10,202717
10013631809,2018-01,144472
10013631809,2018-02,117185
10013631809,2018-03,63915
10013631809,2018-04,28170
10013631809,2018-06,28828
10013631809,2018-07,21243
10013631809,2018-08,12083
10013631809,2018-09,4407
10013642751,2017-09,2956
10013642751,2017-10,18359
10013642751,2018-01,85253
10013642751,2018-02,96790
10013642751,2018-03,61127
10013642751,2018-04,49577
10013642751,2018-06,78462
10013642751,2018-07,55751
10013642751,2018-08,35893
10013642751,2018-09,30856
10013687590,2017-09,490059
10013687590,2017-10,477404
10013687590,2018-01,219859
10013687590,2018-02,147789
10013687590,2018-03,4660
10013687590,2018-04,83837
10013687590,2018-06,136848
10013707856,2017-09,181
10013707856,2017-10,650
10013707856,2018-01,8527
10013712386,2017-09,17292
10013712386,2017-10,15444
10013712386,2018-01,8855
10013712386,2018-02,5743
10013712386,2018-03,3867
10013712386,2018-04,2495
10013712386,2018-06,736
10013712386,2018-07,385
10013712386,2018-08,137
10013712386,2018-09,59
10013748443,2017-09,8
10013748443,2017-10,8
10013748443,2018-01,1
10013779221,2017-09,990861
10013779221,2017-10,1024528
10013779221,2018-01,228015
10013779221,2018-02,173491
