zz.num_nec,zz.month,_c2
"[""1"",""0""]",Nov-17,464218
"[""1"",""0""]",Dec-17,462749
"[""1"",""0""]",Jan-18,44066
"[""1"",""0""]",Feb-18,23677
"[""1"",""0""]",Mar-18,11580
"[""1"",""0""]",Apr-18,36309
"[""1"",""0""]",May-18,73696
"[""1"",""0""]",Jun-18,58365
"[""1"",""0""]",Jul-18,143388
"[""1"",""0""]",Aug-18,270230
"[""1"",""0""]",Sep-18,361887
"[""1"",""0""]",Oct-18,286391
["0"],Sep-17,4626796
["0"],Oct-17,5594532
["0"],Nov-17,430155
"[""0"",""1""]",Nov-17,331622
["0"],Dec-17,364608
"[""0"",""1""]",Dec-17,358543
["1"],Nov-17,5381971
["1"],Dec-17,4894277
["0"],Jan-18,96221
"[""0"",""1""]",Jan-18,38302
["0"],Feb-18,51803
["0"],Mar-18,34259
"[""0"",""1""]",Feb-18,20404
["0"],Apr-18,88438
"[""0"",""1""]",Mar-18,7410
["0"],May-18,120300
"[""0"",""1""]",Apr-18,42113
["0"],Jun-18,327562
"[""0"",""1""]",May-18,51360
["0"],Jul-18,407719
"[""0"",""1""]",Jun-18,50440
["0"],Aug-18,231542
"[""0"",""1""]",Jul-18,139005
["0"],Sep-18,314225
"[""0"",""1""]",Aug-18,216497
"[""0"",""1""]",Sep-18,335283
["0"],Oct-18,167449
"[""0"",""1""]",Oct-18,199524
["1"],Jan-18,3930567
["1"],Feb-18,3846514
["1"],Mar-18,3586824
["1"],Apr-18,3389052
["1"],May-18,3873678
["1"],Jun-18,3549398
["1"],Jul-18,3686289
["1"],Aug-18,3916389
["1"],Sep-18,4164142
["1"],Oct-18,4789901
