MEC_NO,IDCARD_UNIQUE,IDCARD_NUM,index,IDCARD_x,term_day,amt_median,amt_repay_median,no_mec,amt_1st,IDCARD_y,term_amt_repay_median,term_amt_1st,rate_amt_repay_median,rate_amt_1st
10012996445,370,17,2.0,4601.0,27.016909722222227,88.0,1496.14,10012996445,1438.45,848287,0.0,0.0,-13.510057358624419,-13.510057358624419
10013199382,7,7,3.0,226.0,1.9556886574074075,32685.89,1584.8,10013199382,1568.065,4554,21.0,21.0,3.396910479609382,1.3902317645070594
10013391219,15,126,5.0,181.0,3.0216840277777783,1000.0,323.65,10013391219,824.0,2113,3.0,1.0,-3.509053197662735,-21.259668254342163
10013513422,28938,6156,7.0,103737.0,31.877997685185186,2000.0,1146.41,10013513422,704.32,40775,2.0,3.0,1.6763803839798666,0.6466905545193827
10013707856,239,14,11.0,3526.0,0.29961805555555554,14500.0,527.87,10013707856,518.5999999999999,9246,27.0,28.0,-20.794555008971372,1.7475121982406818
10013779221,584414,176476,12.0,798634.0,28.812725694444445,1760.0,645.0,10013779221,1344.0,1513644,3.0,1.0,1.259603621720573,-2.9942577522043337
10013798254,534,5,13.0,9173.0,1.020729166666667,1772.0,834.0,10013798254,1241.53,115150,2.0,1.0,-20.98707727351365,-107.04822001231524
10014202877,1288,77,18.0,17906.0,2.0212962962962964,1275.0,1014.7,10014202877,1526.88,21018,1.0,1.0,-36.86607205410794,35.67355447171999
10014485098,142,200,22.0,702.0,4.257453703703703,5.0,70.64,10014485098,72.99,10229,0.0,0.0,-85.73199508487295,-85.73199508487295
10014499846,126,359,23.0,56995.0,34.38162037037037,6000.0,2100.0,10014499846,1606.8,158,3.0,4.0,0.5308068614394803,0.7558689706898196
10014655891,63,10,24.0,367.0,0.054293981481481485,0.78,300.0,10014655891,600.0,62106,0.0,0.0,-6722.660413557876,-6722.660413557876
10014693748,101,89,25.0,106.0,0.012638888888888887,492.5,3484.7,10014693748,1831.8,20102,0.0,0.0,-28879.120879120885,-28879.120879120885
10014745825,8207,11190,27.0,17676.0,11.876394675925924,1500.0,2000.0,10014745825,1000.0,66616,1.0,2.0,10.244410865975293,10.244410865975293
10014789504,23365,20810,29.0,47238.0,13.836747685185184,846.56,957.16,10014789504,1008.4,54400,1.0,1.0,3.4463249616805265,5.042976779370493
10014880928,10168,11578,34.0,19511.0,14.08066550925926,1000.0,1900.0,10014880928,1240.0,10963,1.0,1.0,23.329863193183783,6.2212968515156755
10015071983,14267,875,38.0,69751.0,61.24958333333333,972.0,525.0,10015071983,1000.0,88868,2.0,1.0,0.47820935037854884,0.1716648950076842
10015307974,83099,4867,43.0,104621.0,111.99476851851853,2000.0,1427.02,10015307974,1427.02,119683,1.0,1.0,-0.9336940589569536,-0.9336940589569536
10015391275,7889,7035,45.0,12311.0,12.077685185185185,5000.0,10043.06,10015391275,5221.86,8927,0.0,1.0,-30.221022853594402,1.3409672260596888
10015441728,109900,143639,47.0,244167.0,14.125717592592592,1120.0,1816.8,10015441728,1312.14,121996,1.0,1.0,16.07579518482111,4.432840537904033
10015478566,157,1152,49.0,3478.0,9.779305555555556,1312.5,1800.0,10015478566,200.0,253,1.0,7.0,13.863093631879758,2.4882475749527773
10015525578,2277,2296,50.0,4021.0,7.065138888888888,380.0,1030.0,10015525578,1400.0,2284,0.0,0.0,-51.662112485010525,-51.662112485010525
10015577479,35930,27969,52.0,65051.0,13.062355324074073,846.56,1000.0,10015577479,1000.0,72133,1.0,1.0,5.064682403391191,5.064682403391191
10015587907,5761,6157,53.0,9090.0,7.099814814814816,505.1,800.0,10015587907,990.5,5763,1.0,1.0,30.01533862931647,49.404697764225894
10015642575,269,3,54.0,454.0,0.05416666666666667,0.01,1228.68,10015642575,870.96,225561,0.0,0.0,-6738.461538461538,-6738.461538461538
