,商户编号,放款人数,扣款人数,放&扣人数,复贷人数,复贷周期（天）,放款金额（中位数）,年化利率,term,每期还款金额
3,10013513422,103737.0,40775,28938,6156,31.877997685185186,2000.0,0.6466905545193827,3.0,704.32
9,10014499846,56995.0,158,126,359,34.38162037037037,6000.0,0.5308068614394803,3.0,2100.0
12,10014745825,17676.0,66616,8207,11190,11.876394675925924,1500.0,10.244410865975293,1.0,2000.0
13,10014789504,47238.0,54400,23365,20810,13.836747685185184,846.56,3.4463249616805265,1.0,957.16
14,10014880928,19511.0,10963,10168,11578,14.08066550925926,1000.0,6.221296851515676,1.0,1240.0
15,10015071983,69751.0,88868,14267,875,61.24958333333333,972.0,0.1716648950076842,1.0,1000.0
18,10015441728,244167.0,121996,109900,143639,14.125717592592592,1120.0,4.432840537904033,1.0,1312.14
19,10015478566,3478.0,253,157,1152,9.779305555555556,1312.5,2.4882475749527773,7.0,200.0
21,10015577479,65051.0,72133,35930,27969,13.062355324074073,846.56,5.064682403391191,1.0,1000.0
22,10015587907,9090.0,5763,5761,6157,7.099814814814817,505.1,30.015338629316467,1.0,800.0
24,10015646943,10205.0,430033,9338,4222,13.120810185185185,1190.0,0.23376810177617946,30.0,40.0
26,10015656761,2714.0,349,340,1312,13.98855324074074,750.0,8.697587561258336,1.0,1000.0
32,10015767991,75586.0,69833,69310,9063,55.058634259259264,2000.0,0.3321277442860782,2.0,1050.1
33,10015880720,772.0,735,631,618,27.989340277777767,1000.0,0.3912203678731859,1.0,1030.0
34,10015923927,23372.0,310,310,11946,7.5256076388888875,1500.0,0.0,1.0,1500.0
41,10017051785,4281.0,4190,4047,1744,31.35473958333333,800.0,3.3467826999838874,1.0,1030.0
45,10017309950,38990.0,36521,34160,10388,7.297858796296296,1120.0,12.503667520438993,1.0,1400.0
47,10017439019,9043.0,11517,5190,1548,27.02354166666667,1500.0,0.0,1.0,1500.0
48,10017737464,6032.0,5780,5670,126,6.0196296296296286,7376.0,1.8958289595927158,7.0,1086.66
49,10017740966,28409.0,24542,23139,20135,20.048553240740734,1615.0,1.1498401556528297,1.0,1717.0
50,10017908304,21068.0,21861,12360,4540,9.888449074074074,1650.0,0.6711228006182602,3.0,560.0
52,10018270597,16615.0,32588,13745,12081,7.513564814814813,500.0,0.0,50.0,10.0
53,10018314871,657.0,140493,364,184,0.009826388888888891,689.23,52.27649701164588,58.0,11.9
55,10019331834,158077.0,123792,123564,120141,14.093298611111116,850.0,4.85191801427201,1.0,1009.24
56,10019510547,3372.0,1795,1463,1739,14.492916666666664,900.0,2.9256245867233983,1.0,1004.55
57,10019924787,741.0,683,668,198,6.145034722222222,720.0,23.09904676878916,1.0,1000.0
58,10020249958,1376.0,1229,709,259,8.528738425925926,150.0,14.26549397936986,1.0,200.0
59,10020310661,11595.0,10880,10876,276,29.94204861111111,2000.0,1.0976069281981045,4.0,545.02
65,10021297721,774.0,648,627,562,9.040648148148149,680.0,7.124684386602991,1.0,800.0
66,10021312187,101304.0,80479,74345,69387,8.589560185185185,1100.0,8.415247250021372,1.0,1317.84
69,10021437873,4435.0,2437,2434,2099,19.80298611111111,820.0,4.045953007791949,1.0,1000.0
77,10021981163,6056.0,1296,1296,2836,7.193831018518519,960.0,2.1140798684572526,1.0,1000.0
84,10022168653,1874.0,1420,1407,568,6.86380787037037,750.0,0.0,3.0,250.0
85,10022203189,1645.0,1148,1113,358,7.740028935185183,1125.0,0.0,3.0,375.0
88,10022283071,984.0,731,728,414,6.583819444444442,790.0,14.736934582488905,1.0,1000.0
90,10022296857,538.0,414,408,221,14.774317129629633,800.0,6.176258381309532,1.0,1000.0
91,10022318976,1822.0,308,308,773,6.052939814814817,1087.5,22.872898144999088,1.0,1500.0
92,10022339124,4686.0,2684,2681,2359,6.118298611111111,805.0,14.451100655295772,1.0,1000.0
94,10022381049,4185.0,3062,3018,1118,7.259484953703704,1125.0,0.0,3.0,375.0
97,10022401667,681.0,110,108,234,15.923379629629624,1200.0,6.15176409018884,1.0,1522.05
98,10022444505,19994.0,5620,5620,10411,13.159085648148148,800.0,6.934372375092902,1.0,1000.0
99,10022451722,98965.0,68197,47464,51195,6.208408564814817,1200.0,5.271124044917423,1.0,1307.59
100,10022459736,18661.0,14783,14699,8313,7.185381944444442,750.0,16.93252601008027,1.0,1000.0
101,10022463864,4052.0,441,426,1528,5.940214120370372,1125.0,12.66598562645341,1.0,1356.9
